position_id,fen,expected_move,engine_move,test_file
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,b3b4,/workspace/tests/positions/wacnew.epd
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h6,/workspace/tests/positions/wacnew.epd
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,f4f2,/workspace/tests/positions/wacnew.epd
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,h3d3,/workspace/tests/positions/wacnew.epd
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f8d8,/workspace/tests/positions/wacnew.epd
WAC.088,r6k/p1Q4p/2p1b1rq/4p3/B3P3/4P3/PPP3P1/4RRK1 b - - 0 1,Rxg2+,h6h5,/workspace/tests/positions/wacnew.epd
WAC.092,r4rk1/1p2ppbp/p2pbnp1/q7/3BPPP1/2N2B2/PPP4P/R2Q1RK1 b - - 0 1,Bxg4,e6c4,/workspace/tests/positions/wacnew.epd
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,g2f1,/workspace/tests/positions/wacnew.epd
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,f1f3,/workspace/tests/positions/wacnew.epd
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,g3e5,/workspace/tests/positions/wacnew.epd
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,c6d5,/workspace/tests/positions/wacnew.epd
WAC.167,7Q/ppp2q2/3p2k1/P2Ppr1N/1PP5/7R/5rP1/6K1 b - - 0 1,Rxg2+,f2f1,/workspace/tests/positions/wacnew.epd
WAC.180,r1q2rk1/p3bppb/3p1n1p/2nPp3/1p2P1P1/6NP/PP2QPB1/R1BNK2R b KQ - 0 1,Nxd5,c8c7,/workspace/tests/positions/wacnew.epd
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,h4h5,/workspace/tests/positions/wacnew.epd
