position_id,fen,expected_move,engine_move,test_file
WAC.014,r2rb1k1/pp1q1p1p/2n1p1p1/2bp4/5P2/PP1BPR1Q/1BPN2PP/R5K1 w - - 0 1,Qxh7+,b3b4,/workspace/tests/positions/wacnew.epd
WAC.030,1r3r2/4q1kp/b1pp2p1/5p2/pPn1N3/6P1/P3PPBP/2QRR1K1 w - - 0 1,Nxd6,c1c3,/workspace/tests/positions/wacnew.epd
WAC.049,2b3k1/4rrpp/p2p4/2pP2RQ/1pP1Pp1N/1P3P1P/1q6/6RK w - - 0 1,Qxh7+,h5h6,/workspace/tests/positions/wacnew.epd
WAC.055,r3r1k1/pp1q1pp1/4b1p1/3p2B1/3Q1R2/8/PPP3PP/4R1K1 w - - 0 1,Qxg7+,f4f2,/workspace/tests/positions/wacnew.epd
WAC.071,2kr3r/pp1q1ppp/5n2/1Nb5/2Pp1B2/7Q/P4PPP/1R3RK1 w - - 0 1,Nxa7+,h3d3,/workspace/tests/positions/wacnew.epd
WAC.074,5r1k/pp4pp/2p5/2b1P3/4Pq2/1PB1p3/P3Q1PP/3N2K1 b - - 0 1,Qf1+,f8d8,/workspace/tests/positions/wacnew.epd
WAC.131,2rq1bk1/p4p1p/1p4p1/3b4/3B1Q2/8/P4PpP/3RR1K1 w - - 0 1,Re8,d4f6,/workspace/tests/positions/wacnew.epd
WAC.141,4r1k1/p1qr1p2/2pb1Bp1/1p5p/3P1n1R/1B3P2/PP3PK1/2Q4R w - - 0 1,Qxf4,g2f1,/workspace/tests/positions/wacnew.epd
WAC.145,r1bq4/1p4kp/3p1n2/p4pB1/2pQ4/8/1P4PP/4RRK1 w - - 0 1,Re8,f1f3,/workspace/tests/positions/wacnew.epd
WAC.157,5rk1/p4ppp/2p1b3/3Nq3/4P1n1/1p1B2QP/1PPr2P1/1K2R2R w - - 0 1,Ne7+,g3e5,/workspace/tests/positions/wacnew.epd
WAC.163,5rk1/2p4p/2p4r/3P4/4p1b1/1Q2NqPp/PP3P1K/R4R2 b - - 0 1,Qg2+,c6d5,/workspace/tests/positions/wacnew.epd
WAC.183,1r2k1r1/5p2/b3p3/1p2b1B1/3p3P/3B4/PP2KP2/2R3R1 w - - 0 1,Bf6,f2f4,/workspace/tests/positions/wacnew.epd
WAC.193,5bk1/p4ppp/Qp6/4B3/1P6/Pq2P1P1/2rr1P1P/R4RK1 b - - 0 1,Qxe3,b3d5,/workspace/tests/positions/wacnew.epd
WAC.200,2rqrn1k/pb4pp/1p2pp2/n2P4/2P3N1/P2B2Q1/1B3PPP/2R1R1K1 w - - 0 1,Bxf6,g3h4,/workspace/tests/positions/wacnew.epd
WAC.210,3r1rk1/pp1q1ppp/3pn3/2pN4/5PP1/P5PQ/1PP1B3/1K1R4 w - - 0 1,Rh1,e2b5,/workspace/tests/positions/wacnew.epd
WAC.213,3r1r1k/1b4pp/ppn1p3/4Pp1R/Pn5P/3P4/4QP2/1qB1NKR1 w - - 0 1,Rxh7+,e2b2,/workspace/tests/positions/wacnew.epd
WAC.217,r3kb1r/1pp3p1/p3bp1p/5q2/3QN3/1P6/PBP3P1/3RR1K1 w kq - 0 1,Qd7+,e4g3,/workspace/tests/positions/wacnew.epd
WAC.226,2b2rk1/p1p4p/2p1p1p1/br2N1Q1/1p2q3/8/PB3PPP/3R1RK1 w - - 0 1,Nf7,d1d8,/workspace/tests/positions/wacnew.epd
WAC.228,r4rk1/1bq1bp1p/4p1p1/p2p4/3BnP2/1N1B3R/PPP3PP/R2Q2K1 w - - 0 1,Bxe4,d4e3,/workspace/tests/positions/wacnew.epd
WAC.230,2b5/1r6/2kBp1p1/p2pP1P1/2pP4/1pP3K1/1R3P2/8 b - - 0 1,Rb4,a5a4,/workspace/tests/positions/wacnew.epd
WAC.237,r5k1/pQp2qpp/8/4pbN1/3P4/6P1/PPr4P/1K1R3R b - - 0 1,Rc1+,c2c5,/workspace/tests/positions/wacnew.epd
WAC.241,2rq1rk1/pp3ppp/2n2b2/4NR2/3P4/PB5Q/1P4PP/3R2K1 w - - 0 1,Qxh7+,f5f6,/workspace/tests/positions/wacnew.epd
WAC.244,r6r/pp3ppp/3k1b2/2pb4/B4Pq1/2P1Q3/P5PP/1RBR2K1 w - - 0 1,Qxc5+,d1d5,/workspace/tests/positions/wacnew.epd
WAC.245,4rrn1/ppq3bk/3pPnpp/2p5/2PB4/2NQ1RPB/PP5P/5R1K w - - 0 1,Qxg6+,c3d5,/workspace/tests/positions/wacnew.epd
WAC.247,2k1r3/1p2Bq2/p2Qp3/Pb1p1p1P/2pP1P2/2P5/2P2KP1/1R6 w - - 0 1,Rxb5,d6c5,/workspace/tests/positions/wacnew.epd
WAC.252,1rb1r1k1/p1p2ppp/5n2/2pP4/5P2/2QB4/qNP3PP/2KRB2R b - - 0 1,Bg4 Re2,f6d5,/workspace/tests/positions/wacnew.epd
WAC.256,3r1rk1/1pb1qp1p/2p3p1/p7/P2Np2R/1P5P/1BP2PP1/3Q1BK1 w - - 0 1,Nf5,g2g3,/workspace/tests/positions/wacnew.epd
WAC.266,r3q2r/2p1k1p1/p5p1/1p2Nb2/1P2nB2/P7/2PNQbPP/R2R3K b - - 0 1,Rxh2+,f2g3,/workspace/tests/positions/wacnew.epd
WAC.291,5r1k/3b2p1/p6p/1pRpR3/1P1P2q1/P4pP1/5QnP/1B4K1 w - - 0 1,h3,c5c3,/workspace/tests/positions/wacnew.epd
WAC.293,1nbq1r1k/3rbp1p/p1p1pp1Q/1p6/P1pPN3/5NP1/1P2PPBP/R4RK1 w - - 0 1,Nfg5,a1c1,/workspace/tests/positions/wacnew.epd
WAC.297,3r1rk1/p3qp1p/2bb2p1/2p5/3P4/1P6/PBQN1PPP/2R2RK1 b - - 0 1,Bxg2 Bxh2+,f8e8,/workspace/tests/positions/wacnew.epd
